#t(s) x y z
0 -0.005555555556 0 0 
0 0 0 0 
0 0.005555555556 0 0 
0 0.01111111111 0 0 
0 0.01666666667 0 0 
0 0.02222222222 0 0 
0 0.02777777778 0 0 
0 0.03333333333 0 0 
0 0.03888888889 0 0 
0 0.04444444444 0 0 
0 0.05 0 0 
0 0.05555555556 0 0 
0 0.06111111111 0 0 
0 0.06666666667 0 0 
0 0.07222222222 0 0 
0 0.07777777778 0 0 
0 0.08333333333 0 0 
0 0.08888888889 0 0 
0 0.09444444444 0 0 
0 0.1 0 0 
1 -0.005555555556 0 0 
1 0 0 0 
1 0.005274277677 -0.001753034737 -1.069957714e-21 
1 0.00998742706 -0.004700133233 -2.5118459e-21 
1 0.01412700712 -0.008410414326 -3.829660076e-21 
1 0.01778391811 -0.01259725427 -4.743068122e-21 
1 0.02107049978 -0.01708053282 -5.158082488e-21 
1 0.02408867255 -0.02174850906 -5.125331394e-21 
1 0.02692111009 -0.02653120754 -4.771576072e-21 
1 0.02963127137 -0.03138396476 -4.232166373e-21 
1 0.03226616172 -0.03627771481 -3.612372734e-21 
1 0.0348594867 -0.04119332869 -2.972528964e-21 
1 0.0374344461 -0.04611829704 -2.330972018e-21 
1 0.04000602324 -0.0510447407 -1.675611276e-21 
1 0.04258283415 -0.05596815696 -9.815282149e-22 
1 0.04516865677 -0.06088655414 -2.271243848e-22 
1 0.04776376 -0.06579976875 5.954260558e-22 
1 0.05036613443 -0.07070884364 1.477095686e-21 
1 0.05297270352 -0.07561540024 2.396197798e-21 
1 0.05558056861 -0.08052097576 3.32843321e-21 
2 -0.005555555556 0 0 
2 0 0 0 
2 0.00515243086 -0.002083571466 2.403162973e-21 
2 0.009496290316 -0.005552246917 4.599771388e-21 
2 0.01301213158 -0.009858628915 5.54753806e-21 
2 0.01582823541 -0.01465204943 5.223113684e-21 
2 0.01809920182 -0.01972640857 4.059801445e-21 
2 0.01996152584 -0.02496435721 2.560088834e-21 
2 0.02152356005 -0.03029931351 1.127334856e-21 
